,hub,bins,imsize,bic,aic,covariances,means,n_components,nb_partitions,nk_debug,weights
768,gas,28,270,-6961.04059531963,-7021.643283245812,"[[[0.00314491]]

 [[0.00023339]]

 [[0.05136536]]

 [[0.00335139]]]","[[0.49020766]
 [0.49554961]
 [0.47842722]
 [0.503365  ]]",4.0,4.0,"[0.13917808219178082, 0.30904109589041096, 0.3972602739726027, 0.15452054794520548]",[0.29221938 0.61691815 0.02574668 0.06511578]
769,gas,28,275,-6959.688473921015,-7020.291161847198,"[[[0.0523276 ]]

 [[0.00334777]]

 [[0.00023693]]

 [[0.00313203]]]","[[0.47791614]
 [0.49944726]
 [0.49555003]
 [0.48787632]]",4.0,4.0,"[0.27287671232876715, 0.2432876712328767, 0.32602739726027397, 0.1578082191780822]",[0.02511058 0.1440431  0.62078523 0.2100611 ]
770,gas,28,280,-6962.953334593268,-7023.55602251945,"[[[0.00318577]]

 [[0.00022837]]

 [[0.04953495]]

 [[0.00296044]]]","[[0.49923235]
 [0.49556129]
 [0.4788397 ]
 [0.48443838]]",4.0,4.0,"[0.18575342465753425, 0.34794520547945207, 0.39616438356164385, 0.07013698630136986]",[0.2007383  0.61133061 0.02700962 0.16092147]
771,gas,28,285,-6961.489966671546,-7022.092654597729,"[[[0.00294029]]

 [[0.00023241]]

 [[0.04921751]]

 [[0.00319035]]]","[[0.48233799]
 [0.49556926]
 [0.47861183]
 [0.50198403]]",4.0,4.0,"[0.05589041095890411, 0.35342465753424657, 0.383013698630137, 0.20767123287671233]",[0.17018225 0.61554587 0.02718538 0.18708649]
772,gas,28,290,-6959.117077674471,-7019.719765600654,"[[[0.00356945]]

 [[0.00023844]]

 [[0.05335587]]

 [[0.00312563]]]","[[0.50202891]
 [0.49555882]
 [0.47691306]
 [0.48900175]]",4.0,4.0,"[0.31726027397260276, 0.3189041095890411, 0.2328767123287671, 0.13095890410958905]",[0.09742753 0.62242474 0.02445149 0.25569624]
773,gas,28,295,-6960.808788481453,-7021.411476407636,"[[[0.00320988]]

 [[0.00335515]]

 [[0.00023389]]

 [[0.05162279]]]","[[0.49236194]
 [0.50181295]
 [0.49554119]
 [0.47873113]]",4.0,4.0,"[0.2641095890410959, 0.01315068493150685, 0.31068493150684934, 0.41205479452054794]",[0.34838949 0.00849959 0.61751735 0.02559357]
774,gas,30,5,-7035.256030693302,-7112.386724417534,"[[[4.03329452e-02]]

 [[4.16999608e-04]]

 [[4.61074086e-03]]

 [[1.49190218e-03]]

 [[5.37983529e-05]]]","[[0.4847979 ]
 [0.49705091]
 [0.48791917]
 [0.49516465]
 [0.49476002]]",5.0,5.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",[0.03499117 0.13029394 0.11857661 0.39022026 0.32591801]
775,gas,30,10,-6945.654238291735,-7105.424961006216,"[[[1.01535800e-03]]

 [[4.31440828e-03]]

 [[2.67625546e-04]]

 [[9.61085559e-04]]

 [[4.98733660e-02]]

 [[4.25853787e-04]]

 [[2.03921160e-03]]

 [[6.23973752e-03]]

 [[3.23134684e-05]]

 [[2.83039897e-04]]]","[[0.48954593]
 [0.47496617]
 [0.49724336]
 [0.49004716]
 [0.48055826]
 [0.49743136]
 [0.49589806]
 [0.495693  ]
 [0.49446342]
 [0.49737623]]",10.0,10.0,"[0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972, 0.09972602739726028, 0.10027397260273972]","[0.04321505 0.04321976 0.08855149 0.04419577 0.02636341 0.07165771
 0.30644893 0.04745268 0.24192016 0.08697504]"
776,gas,30,15,-6833.141635770604,-7075.552387475334,"[[[4.96305615e-04]]

 [[5.54224253e-02]]

 [[7.44346247e-04]]

 [[7.86158193e-04]]

 [[1.93719373e-03]]

 [[5.32034095e-04]]

 [[3.85723081e-03]]

 [[2.43236762e-02]]

 [[1.43900223e-04]]

 [[2.65974661e-03]]

 [[5.56926540e-02]]

 [[8.62089050e-04]]

 [[3.07624046e-05]]

 [[6.33305619e-03]]

 [[2.99213382e-04]]]","[[0.49787179]
 [0.47368653]
 [0.49417691]
 [0.49353181]
 [0.4821065 ]
 [0.49745491]
 [0.46779576]
 [0.56318762]
 [0.49587808]
 [0.49664809]
 [0.41095101]
 [0.49240099]
 [0.49444324]
 [0.48093282]
 [0.49796284]]",15.0,15.0,"[0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315, 0.0663013698630137, 0.06684931506849315, 0.06684931506849315]","[0.0558226  0.00926932 0.04350589 0.0414317  0.03046769 0.05424431
 0.0279892  0.01047036 0.08774626 0.2764064  0.0084402  0.03979537
 0.22105993 0.02205456 0.07129619]"
777,gas,30,20,-6757.042546902068,-7049.037316000948,"[[[3.81245603e-04]]

 [[2.24570250e-03]]

 [[5.48233668e-02]]

 [[5.78534413e-04]]

 [[1.63439653e-03]]

 [[4.95185676e-04]]

 [[8.24499777e-03]]

 [[4.85495736e-04]]

 [[1.90360541e-03]]

 [[7.10938627e-03]]

 [[5.52486120e-02]]

 [[4.51094792e-05]]

 [[2.97440450e-03]]

 [[4.46289399e-04]]

 [[5.54368401e-02]]

 [[6.53160615e-04]]

 [[4.29746438e-05]]

 [[2.41257702e-02]]]","[[0.49756487]
 [0.48017633]
 [0.47001212]
 [0.49664681]
 [0.48627375]
 [0.49724335]
 [0.49079153]
 [0.49729439]
 [0.48362566]
 [0.47860124]
 [0.46049662]
 [0.4945902 ]
 [0.49501391]
 [0.49747973]
 [0.45168143]
 [0.49595774]
 [0.49464002]
 [0.56859136]]",18.0,18.0,"[0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959, 0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959, 0.04986301369863014, 0.04986301369863014, 0.04986301369863014, 0.05041095890410959, 0.04986301369863014, 0.05041095890410959, 0.1495890410958904, 0.05041095890410959, 0.04986301369863014, 0.04986301369863014]","[0.05628739 0.0262416  0.00430387 0.04970295 0.02872256 0.05228841
 0.00867731 0.05328223 0.02724166 0.00971335 0.00413791 0.11013596
 0.27366176 0.05421639 0.01188614 0.04701493 0.17668541 0.00580019]"
